seed,pen-cloned_ST1_mean,pen-cloned_ST1_std_error,pen-cloned_ST1_count_999,pen-cloned_ST2_mean,pen-cloned_ST2_std_error,pen-cloned_ST2_count_999,pen-cloned_ST4_mean,pen-cloned_ST4_std_error,pen-cloned_ST4_count_999,pen-cloned_ST8_mean,pen-cloned_ST8_std_error,pen-cloned_ST8_count_999,pen-cloned_ST16_mean,pen-cloned_ST16_std_error,pen-cloned_ST16_count_999,kitchen-partial_ST1_mean,kitchen-partial_ST1_std_error,kitchen-partial_ST1_count_999,kitchen-partial_ST2_mean,kitchen-partial_ST2_std_error,kitchen-partial_ST2_count_999,kitchen-partial_ST4_mean,kitchen-partial_ST4_std_error,kitchen-partial_ST4_count_999,kitchen-partial_ST8_mean,kitchen-partial_ST8_std_error,kitchen-partial_ST8_count_999,kitchen-partial_ST16_mean,kitchen-partial_ST16_std_error,kitchen-partial_ST16_count_999
66,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
67,194,0,0,999,0,1,514,0,0,999,0,1,624,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
68,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
69,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
70,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
71,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
72,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
73,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
74,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
75,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
76,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
77,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
78,65,0,0,999,0,1,999,0,1,447,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
79,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
80,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
81,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
82,999,0,1,999,0,1,187,0,0,999,0,1,163,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
83,305,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
84,999,0,1,999,0,1,222,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
85,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
86,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
87,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
88,999,0,1,999,0,1,999,0,1,999,0,1,591,0,0,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
89,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
90,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1,999,0,1
