seed,pen-cloned_ST1,pen-cloned_ST2,pen-cloned_ST4,pen-cloned_ST8,pen-cloned_ST16,kitchen-partial_ST1,kitchen-partial_ST2,kitchen-partial_ST4,kitchen-partial_ST8,kitchen-partial_ST16
106,-0.2622401102182394,-0.2587462189608176,-0.2573309853554783,-0.2541647217433597,3.4593171981705515,0.0,0.0,0.25,0.25,0.25
107,0.14610524176088147,0.2978913797629519,0.21208513900923387,5.8625482741565245,4.3292854760122195,0.25,0.0,0.0,0.25,0.25
108,0.190091621664605,0.07130533149306231,0.06292710463910767,0.08288195161342271,18.97606009659139,0.0,0.0,0.0,0.25,0.75
109,1.7640560367365414,20.106772708192146,6.422189072191439,4.320553307755273,19.98405942225045,0.0,0.25,0.0,0.5,0.25
110,19.79602890276241,19.9249181055553,19.852613228102264,19.934347031437245,-0.06339502028422894,0.0,0.0,0.25,0.75,0.5
111,-0.13948795593721747,-0.1924687986585914,-0.10696134902935528,-0.1021348579582507,0.097353046309907,0.0,0.0,0.0,0.75,0.75
112,3.670651054266579,0.35784116204027067,0.6145753428286624,19.65718679752386,12.463014855865032,0.0,0.0,0.25,0.75,0.5
113,-0.18440154864494324,-0.2391786868080154,-0.20360463357987058,-0.06072975390555354,0.13044924237636651,0.0,0.0,0.25,0.25,0.75
114,-0.22553388183408618,-0.22008967479181468,0.1426136279294662,0.09849539615313141,19.657731319530434,0.0,0.0,0.5,0.25,0.0
115,0.19975368107411126,0.19064373843068166,0.17805982879742532,4.1135021706617945,19.91856881842386,0.0,0.0,0.0,0.25,0.25
116,19.451674095322105,4.52325196044395,19.62301493335873,0.32745840976306284,19.88649652150432,0.0,0.25,0.0,0.25,0.75
117,0.06276581675064864,0.07108313967124928,0.11122091576932386,0.21428207617565043,19.724986418538233,0.0,0.0,0.0,0.25,0.5
118,0.1920818570168281,3.530942587475656,0.2605572870654296,0.24152283144813372,0.19732381311975308,0.0,0.0,0.25,0.25,0.25
119,0.12567637821897457,0.23748483031903317,0.3477756365109074,0.2046183590651307,11.000520171067354,0.0,0.0,0.25,0.25,0.25
120,-0.2366845025209277,-0.2367359360690271,-0.2248929110377501,-0.21528846455351136,19.605986666329482,0.0,0.0,0.25,0.0,0.5
121,0.20923483997289077,0.2113683302180697,0.20028147631587231,0.18787743379183675,0.3018359052885814,0.0,0.0,0.0,0.25,0.25
122,-0.08357823783445244,-0.055914635578189924,0.1823241429645117,0.1891717386425343,19.74693857860728,0.0,0.0,0.0,0.25,0.5
123,-0.16708350985882833,0.15576901020467643,0.1469763268147179,0.1278892099259231,0.2523033495576663,0.0,0.0,0.25,0.5,0.5
124,0.15398760298349912,0.20936566392222,0.20947408195621656,0.15215471338847059,19.949674902186338,0.0,0.25,0.0,0.25,0.5
125,19.947159389354006,19.912658956003064,19.913452639734736,19.623932977833945,2.5931121410430826,0.25,0.0,0.25,0.5,0.25
126,19.99868706527106,19.9626871791896,19.97918255208354,20.173933509801557,20.169930498181888,0.0,0.0,0.25,0.5,0.25
127,-0.20540787175350053,-0.1800301211910019,-0.15914200936327003,-0.1245178131406059,0.2636598575445294,0.0,0.0,0.25,0.25,0.5
128,0.13747219900581972,0.14380958444834732,0.12673707359074807,0.1397104224493283,10.34843387258891,0.0,0.25,0.0,0.5,0.5
129,-0.11537570590244955,-0.06216519185093516,3.2547086145493513,0.038188575707313946,0.14495512637342203,0.25,0.0,0.25,0.25,0.5
130,-0.05832291273253179,-0.05341320253276961,-0.05435765490729743,-0.06447215186975433,0.002704505773100259,0.0,0.25,0.0,0.25,0.25
131,2.5513731700875057,4.9340886264120964,19.86762871692475,0.9011718345149041,19.611761906541826,0.0,0.0,0.0,0.25,0.25
132,8.531960353554307,20.09587629490801,3.0546363566307457,1.0250608294334247,0.5763369666999115,0.25,0.0,0.25,0.25,0.5
